charity_ID,service_ID
3,8
3,15
3,17
3,18
3,20
3,27
3,31
3,32
3,35
57,8
57,13
57,14
57,15
57,16
57,17
57,20
57,22
57,26
57,35
74,11
74,14
74,17
74,20
74,28
74,29
74,30
74,31
74,35
74,36
88,8
88,11
88,12
88,13
88,17
88,18
88,19
88,20
88,21
88,22
88,23
88,24
88,27
88,28
88,29
88,32
88,33
88,35
130,8
130,11
130,12
130,13
130,14
130,16
130,17
130,18
130,19
130,20
130,23
130,27
130,28
130,29
130,30
130,32
130,33
130,34
130,35
130,36
139,1
139,2
139,11
139,12
139,13
139,14
139,16
139,17
139,18
139,19
139,20
139,21
139,23
139,24
139,27
139,28
139,29
139,30
139,31
139,32
139,33
139,34
139,35
139,36
147,1
147,2
147,11
147,12
147,13
147,18
147,19
147,22
147,28
147,29
147,35
171,8
171,9
171,11
171,12
171,13
171,14
171,15
171,16
171,17
171,18
171,19
171,20
171,22
171,23
171,26
171,27
171,28
171,29
171,30
171,31
171,32
171,33
171,34
171,35
171,36
194,9
194,12
194,14
194,16
194,17
194,18
194,19
194,22
194,23
194,27
194,29
194,34
194,35
194,36
205,6
205,11
205,12
205,13
205,14
205,16
205,17
205,18
205,19
205,20
205,23
205,27
205,28
205,29
205,30
205,31
205,32
205,33
205,34
205,35
205,36
261,1
261,11
261,14
261,17
261,19
261,20
261,21
261,22
261,23
261,24
261,27
261,28
261,29
261,30
261,31
261,32
261,34
261,35
265,8
265,11
265,12
265,13
265,14
265,15
265,16
265,17
265,18
265,19
265,20
265,21
265,23
265,24
265,26
265,27
265,28
265,29
265,30
265,31
265,32
265,33
265,34
265,35
265,36
283,11
283,12
283,13
283,14
283,15
283,16
283,17
283,18
283,19
283,20
283,21
283,22
283,23
283,24
283,26
283,27
283,28
283,29
283,30
283,31
283,32
283,33
283,34
283,35
283,36
308,8
308,11
308,12
308,13
308,14
308,15
308,16
308,17
308,18
308,19
308,20
308,21
308,23
308,24
308,26
308,27
308,28
308,29
308,30
308,31
308,32
308,33
308,34
308,35
308,36
435,8
435,12
435,13
435,14
435,16
435,17
435,18
435,19
435,20
435,23
435,24
435,27
435,28
435,29
435,32
435,34
435,35
435,36
477,18
477,19
477,20
477,22
477,23
477,27
477,29
477,32
477,35
503,10
503,22
503,31
503,35
549,2
549,7
549,9
549,11
549,12
549,13
549,14
549,16
549,17
549,18
549,20
549,29
549,31
549,35
549,36
569,11
569,12
569,17
569,18
569,19
569,20
569,23
569,24
569,27
569,31
569,32
569,35
593,12
593,13
593,14
593,15
593,16
593,17
593,18
593,19
593,20
593,22
593,23
593,26
593,27
593,31
593,32
593,35
593,36
600,2
600,5
600,6
600,7
600,9
600,11
600,12
600,13
600,14
600,16
600,17
600,18
600,19
600,20
600,23
600,27
600,28
600,29
600,30
600,31
600,32
600,34
600,35
600,36
627,9
627,11
627,12
627,13
627,14
627,16
627,17
627,18
627,19
627,20
627,23
627,27
627,30
627,31
627,32
627,33
627,34
627,35
627,36
635,9
635,11
635,12
635,13
635,14
635,16
635,17
635,18
635,19
635,20
635,22
635,23
635,24
635,27
635,28
635,29
635,32
635,34
635,35
635,36
643,8
643,11
643,12
643,13
643,17
643,18
643,19
643,20
643,21
643,23
643,24
643,27
643,28
643,29
643,31
643,32
643,33
643,34
643,35
643,36
656,8
656,12
656,13
656,18
656,19
656,20
656,23
656,27
656,32
656,34
656,35
656,36
691,8
691,11
691,12
691,13
691,14
691,17
691,18
691,19
691,20
691,22
691,23
691,27
691,28
691,29
691,30
691,31
691,32
691,33
691,34
691,35
691,36
694,9
694,11
694,12
694,13
694,14
694,16
694,17
694,18
694,19
694,20
694,23
694,27
694,28
694,29
694,30
694,31
694,32
694,33
694,34
694,35
694,36
728,9
728,11
728,12
728,13
728,17
728,18
728,19
728,20
728,23
728,27
728,28
728,29
728,30
728,31
728,32
728,33
728,34
728,35
728,36
768,8
768,11
768,12
768,13
768,14
768,16
768,17
768,18
768,19
768,20
768,22
768,23
768,27
768,29
768,30
768,31
768,32
768,33
768,34
768,35
768,36
800,2
800,11
800,12
800,13
800,14
800,15
800,16
800,17
800,18
800,19
800,22
800,23
800,26
800,28
800,29
800,31
800,35
800,36
812,5
812,9
812,18
812,28
812,29
812,34
812,35
817,11
817,12
817,13
817,14
817,16
817,17
817,18
817,19
817,20
817,21
817,22
817,23
817,24
817,26
817,27
817,28
817,29
817,30
817,31
817,32
817,33
817,34
817,35
817,36
884,8
884,15
884,18
884,35
884,36
904,9
904,11
904,14
904,16
904,19
904,20
904,23
904,27
904,29
904,31
904,32
904,35
904,36
914,18
914,20
914,22
914,31
914,35
923,8
923,16
923,18
923,22
923,31
923,35
978,12
978,13
978,14
978,16
978,17
978,18
978,19
978,20
978,22
978,23
978,24
978,26
978,27
978,28
978,29
978,31
978,32
978,33
978,34
978,35
978,36
981,1
981,11
981,12
981,13
981,14
981,15
981,16
981,18
981,20
981,22
981,24
981,28
981,29
981,31
981,32
981,35
981,36
1011,2
1011,9
1011,11
1011,12
1011,13
1011,14
1011,16
1011,17
1011,18
1011,19
1011,20
1011,22
1011,23
1011,27
1011,28
1011,29
1011,30
1011,31
1011,32
1011,33
1011,34
1011,35
1011,36
1014,5
1014,9
1014,11
1014,12
1014,14
1014,16
1014,17
1014,18
1014,19
